p_symbol,last_close,last_volume,avg_volume,pct_change_1_day,pct_change_1_week,pct_change_1_month,pct_change_3_months,pct_change_1_year,sma_5,ema_5,sma_13,ema_13,sma_20,ema_20,sma_34,ema_34,sma_50,ema_50,sma_89,ema_89,sma_200,ema_200,bband_upper,bband_lower,bband_mid,macd,macd_signal,macd_hist,adx,dmi_plus,dmi_minus,rsi,stoch_k,stoch_d,cci,psar,true_range,atr,williams_r,trix,stochrsi_k,stochrsi_d,momentum,candle,p_date
NTPC-2M,158.2,84000,2148960,-0.06,-5.04,-1,11.8,23.98,159.9,159.74,160.96,160.45,160.38,160.12,159.5,158.76,157.58,156.77,151.35,152.07,141.03,143.55,165.23,155.52,160.38,0.85,1.44,-0.58,12.43,24.58,28.85,47.16,12.59,15.81,-77.27,168.45,2.6,3.1,-93.31,0.19,0,7.42,-1.6,,26-08-2016
NUCLEUS,185.45,27258,47474.86,-1.83,-0.32,-5.09,-9.51,-34.93,190.79,188.66,187.64,189.43,189.62,191.29,196.56,195.12,203.25,198.04,204.75,202.42,214.65,218.63,198.25,180.98,189.62,-3.81,-4.74,0.93,24.91,19.77,21.34,39.56,40.15,52.3,-166.67,182.5,6.95,6.56,-76.47,-0.16,0,51.75,-9.95,NO PATTERN,26-08-2016
NUTEK,0.65,68579,74510.34,0,0,-7.14,8.33,8.33,0.65,0.65,0.64,0.65,0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.64,0.64,0.63,0.69,0.6,0.64,0,0,0,32.19,5.04,2.23,50.42,50,66.67,-55.56,0.7,0.05,0.08,-50,0.03,0,33.33,-0.05,NO PATTERN,26-08-2016
OBEROIRLTY,305.15,43436,332171.96,-0.55,2.67,4.65,14.5,17.21,309.23,306.18,301.9,303.34,299.73,301.23,299.12,297.52,292.62,293.46,285.31,284.83,264.94,271.71,316.24,283.21,299.73,4.07,3.59,0.48,34.84,22.47,11.91,54.19,32.15,49.39,-78.26,292.29,5.85,11.33,-54.52,0.18,0,24.79,13.55,NO PATTERN,26-08-2016
OCCL,723.35,4305,17395.52,-2.29,7.56,16.46,55.64,0,734.34,725.74,697.86,702.57,681.15,685.76,656.14,656.88,619.73,630.01,557.63,586.37,,,749.04,613.27,681.15,32.47,29.27,3.2,51.66,32.02,11.84,66.68,71.55,78.83,-36.67,674.49,24,27.6,-32.68,0.57,0,62.8,102.25,NO PATTERN,26-08-2016
OCL,785.75,18900,29049.76,-1.41,1.21,1.9,34.92,49.24,791.53,787.74,767.18,771.03,754.94,756.17,722.32,728.42,691.17,700.59,629.04,649.48,541.77,583.76,811.03,698.86,754.94,29.28,28.81,0.46,37.96,21.78,8.91,64.66,77.22,78.91,-18.44,713.33,17.9,29.48,-16.78,0.54,0,41.46,14.65,NO PATTERN,26-08-2016
OFSS,3612.7,28820,37131.2,-0.34,-1.3,1.68,3.61,-17.69,3634.22,3634.38,3669.38,3646.84,3651.36,3639.82,3619.36,3615.54,3568.55,3591.86,3531.58,3567.43,3579.85,3643.95,3748.28,3554.44,3651.36,17.21,29.78,-12.57,32.27,25.12,11.75,47.82,10.77,11.19,-143.6,3977.59,53.9,93.48,-96.7,0.09,0,8.09,59.6,NO PATTERN,26-08-2016
OFSS-1M,3529.55,42450,44817,-2.65,-3.89,-0.86,0.49,-19.95,3618.47,3608.69,3670.69,3641.54,3661.03,3640.5,3628.11,3621.05,3577.75,3599.64,3542.94,3577.25,3591.84,3653.44,3772.5,3549.55,3661.03,7.2,26.91,-19.71,29.07,25.66,19.44,37.47,12.3,10.77,-166.67,3932.94,103.6,92.07,-98.44,0.09,0,7.04,-30.65,,26-08-2016
OIL,384.7,555292,395429.18,0.25,2.6,3.15,10.32,-16.58,380.07,381.09,373.75,376.29,372.56,374.18,371.79,370.62,367.1,366.56,354.8,360.12,350.95,371.07,384.54,360.59,372.56,4.02,2.77,1.25,15.86,27,13.43,64.48,80.29,70.32,68.12,365.32,8.25,7.66,-14.53,0.15,79.59,84.57,11.75,NO PATTERN,26-08-2016
OIL-1M,379.75,1174700,572658,-0.98,0.93,1.74,8.13,-17.46,379.55,379.87,374.33,376.38,373.39,374.59,372.54,371.26,367.88,367.29,355.68,360.79,350.9,370.97,384.4,362.39,373.39,3.5,2.71,0.79,17.96,28.53,18.88,57,69.99,64.71,6.14,363.71,9.4,7.43,-32.57,0.15,30.48,63.96,6.5,,26-08-2016
OILCOUNTUB,30.75,702791,77593.24,19.88,22.02,-9.82,4.95,2.16,26.94,27.44,26,26.84,26.31,27.24,29.14,28.02,29.48,28.46,29.36,28.66,28.25,28.8,29.14,23.48,26.31,-0.81,-1.27,0.46,20.89,34.8,15.22,62.18,51.63,40.52,166.67,24.6,5.1,1.8,0,-0.12,100,77.72,-3.35,NO PATTERN,26-08-2016
OISL,9.6,16311,108826.74,-2.54,4.92,-19.33,-8.57,-61.21,9.52,9.58,9.41,9.65,9.77,9.9,10.77,10.31,11.01,10.55,11.25,10.86,11.1,12.61,11.01,8.52,9.77,-0.49,-0.57,0.08,17.22,18.85,19.94,41.27,65.19,65.23,2.34,8.74,0.95,0.83,-57.78,-0.17,79.39,91.97,-2.3,NO PATTERN,26-08-2016
OMAXAUTO,79.85,123964,59390.6,-1.78,18.03,0.63,31.01,43.23,74.32,75.76,69.99,72.11,69.39,71.32,71.45,70.6,70.54,69.86,67.45,68.41,68.32,65.28,77.62,61.16,69.39,1.33,-0.07,1.4,24.07,36.8,10.62,67.34,72.41,66.85,87.55,65.83,5.85,4.26,-30.84,0.13,84.21,94.74,0.5,NO PATTERN,26-08-2016
OMAXE,160.8,672573,813112.04,-0.37,-1.17,-0.71,2.85,19.29,160.74,161.14,162.02,161.51,161.91,161.5,161.77,160.85,160.18,159.61,156.11,156.14,145.61,148.25,164.45,159.37,161.91,0.19,0.53,-0.34,17.63,18.9,19.46,48.51,44.94,32.88,10.1,164.49,1.25,2.31,-76.99,0.12,56.17,62.74,-1.15,NO PATTERN,26-08-2016
OMKARCHEM,164.45,96653,341407.46,-1.91,0,15.81,-4.64,-18.25,168.77,166.23,160.02,161.95,158.19,159.81,154,158.88,157.51,159.99,166.14,164.32,180.19,175.51,171.76,144.62,158.19,3.37,1.54,1.83,21.74,25.99,19.54,57.48,51.8,70.14,-104.47,160.42,6.25,6.56,-45.58,-0.19,0,33.33,22.45,Engulfing Line - Bearish,26-08-2016
OMMETALS,45.3,21223,66049.62,1.23,0.78,-11,-2.27,6.34,44.6,44.84,45.55,45.51,46.38,46.13,47.63,46.88,47.95,47.24,47.92,47.44,48.22,48.18,49.95,42.81,46.38,-1.12,-0.98,-0.14,15.96,13.08,18.65,43.72,59.27,48.57,111.11,46.36,1.4,2.11,-57.36,-0.03,100,91.19,-5.6,NO PATTERN,26-08-2016
ONELIFECAP,28.65,19682,56734.2,-1.72,0.35,-12.52,7.3,-7.88,28.64,28.75,29,29.15,29.71,29.46,30.73,29.63,29.58,29.66,28.71,30.42,38.1,36.39,31.99,27.43,29.71,-0.5,-0.34,-0.16,14.16,20.06,14.72,42.59,28.89,23.1,24.34,30.45,1.35,1.65,-88.41,0.1,51.44,83.81,-4.1,NO PATTERN,26-08-2016
ONGC,238.4,1934741,4272795.96,0.25,-1.32,6.79,11.92,-8.59,238.99,238.67,236.46,235.94,231.23,233.47,228.73,229.82,225.34,226.89,219.61,223.19,219.56,226.43,247.43,215.03,231.23,4.59,4.14,0.45,30.93,28.88,16.44,62.17,35.7,43.43,-92.36,235.56,2.85,4.71,-27.85,0.14,11.2,17.24,15.15,NO PATTERN,26-08-2016
ONGC-1M,236.65,6525000,11272480,-0.5,-2.23,5.91,10.12,-9.29,238.71,238.15,236.35,235.81,231.39,233.5,229.07,230.04,225.77,227.23,220.24,223.62,219.93,226.82,247.06,215.71,231.39,4.32,3.97,0.35,26.32,28.08,20.89,58.73,36.98,44.38,-135.77,243.75,4.3,4.71,-37.08,0.14,0,11.95,13.2,,26-08-2016
